field_id,availability,stability,private,value_type,base_type,item_type,instanced,arrayed,sexed,units,main_category,encoding_id,instance_id,instance_min,instance_max,array_min,array_max,debut,version,num_participants,item_count
1379,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,501614,573774
1389,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1408,0,0,0,21,11,0,1,0,0,,100052,100377,2,0,3,0,0,2012-01-05,2020-03-19,490273,560243
1418,0,0,0,21,11,0,1,0,0,,100052,100387,2,0,3,0,0,2012-01-05,2020-03-19,501543,573689
1428,0,0,0,21,11,0,1,0,0,,100052,100388,2,0,3,0,0,2012-01-05,2020-03-19,498729,570002
1438,0,0,0,11,0,0,1,0,0,slices/week,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,498729,570002
1448,0,0,0,21,11,0,1,0,0,,100052,100391,2,0,3,0,0,2012-01-05,2020-03-19,483625,550357
1458,0,0,0,11,0,0,1,0,0,bowls/week,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501512,573655
1468,0,0,0,21,11,0,1,0,0,,100052,100393,2,0,3,0,0,2012-01-05,2020-03-19,419175,474159
1478,0,0,0,21,11,0,1,0,0,,100052,100394,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1488,0,0,0,11,0,0,1,0,0,cups/day,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1498,0,0,0,11,0,0,1,0,0,cups/day,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1508,0,0,0,21,11,0,1,0,0,,100052,100397,2,0,3,0,0,2012-01-05,2020-03-19,391251,445904
1518,0,0,0,21,11,0,1,0,0,,100052,100398,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1528,0,0,0,11,0,0,1,0,0,glasses/day,100052,100373,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1538,0,0,0,21,11,0,1,0,0,,100052,100400,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1548,0,0,0,21,11,0,1,0,0,,100052,100401,2,0,3,0,0,2012-01-05,2020-03-19,498729,570002
1558,0,0,0,21,11,0,1,0,0,,100051,100402,2,0,3,0,0,2012-01-05,2020-03-19,501612,573772
1568,0,0,0,11,0,0,1,0,0,glasses,100051,100291,2,0,3,0,0,2012-01-05,2020-03-19,349121,397993
1578,0,0,0,11,0,0,1,0,0,glasses,100051,100291,2,0,3,0,0,2012-01-05,2020-03-19,349120,397992
1588,0,0,0,11,0,0,1,0,0,pints,100051,100291,2,0,3,0,0,2012-01-05,2020-03-19,349120,397992
